Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
NITA JAYA CATERING SERVICE,,,,,,,
,,,,,,,
Recipe number          :,001/olsoup/NT/2024,,,,Nama  : Chicken Macaroni Soup,,
Property                       :,Nita Jaya Catering Service,,,,,,
Category                       :,Soup,,,,,,
Yield                               :,10 portion,,,,,,
,,,,,,,
Ingredients,Convertion,,,Used,,Price Unit,Total 
,Pack Store,Unit,Price,Unit,Qty,used in gr,Cost
chicken breast,1000,gr,,gr,500,0,0
macaroni elbow,1000,gr,,gr,200,0,0
carrot,1000,kg,,gr,100,0,0
cauliflower,1000,kg,,gr,100,0,0
garlic,1000,kg,,gr,10,0,0
CELERY,1000,kg,,gr,50,0,0
chicken powder ,5,kg,,gr,10,0,0
GARAM,300,kg,,gr,20,0,0
pepper powder,1000,kg,,gr,5,0,0
sugar,1000,kg,,gr,29,0,0
,,,,,,,
,,,,,,,
,,,,,,total cost 1,0
,,,,,,cost vactor 20 %,0
,,,,,,total cost 2,0
,,,,,,cost selling,0.3
,,,,,,price to selling,0
,,,,,,,
cooking method:,,,,,,,
"1 . Boil water in pot soup amount less than 3 - 4 liter , put fried garlic , chicken powder , salt , pepper powder ",,,,,,,
      and sugar,,,,,,,
2 . But before all material in ready cutted. ,,,,,,,
3 . Sauted chicken breast until come out the aroma fragrant than put in the pot soup .,,,,,,,
"4 . Put all material remaind and simer the fire , waiting until half cooking , check the taste",,,,,,,
5 . The last put macaroni in the soup . Why macaroni put in last time ? Becaused to avoid macaroni over ,,,,,,,
       cooking.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Created by:,,,,,,,
Wildan ( Head Chef),,,,,,,
